ID,Restaurant Name,Menu URL,Address 1,Address 2,City,State,Zipcode,Display Phone,Lat,Long,
3029e0f9887f5a811075c9b28e207ae441575277,Paseo,http://www.paseoseattle.com/index.php/menu.html,4225 Fremont Avenue North,,Seattle,WA,98103,2065457440,,,
af3c40d2641a3fe6b328b628ee693f6b364d20be,Serious Pie,http://tomdouglas.com/index.php?page=serious-pie-pizza,316 Virginia,,Seattle,WA,98121,(206) 838-7388,,,
bd78aaa6dfa2c8f7da228ba25654bb6ed827eb91,MOD Pizza,http://www.modpizza.com/MOD_Menu_Online.pdf,1302 6th Ave,,Seattle,WA,98101,(206) 332-0200,,,
d35e73acde9c035881fc0ad4d8ece98d45608d74,Atlantic Street Pizza Slices,http://www.atlanticstreetpizza.com/menu.html,999 3rd Ave,,Seattle,WA,98101,(206) 624-7200,,,
8945bb93cafaac162ae21c34f9534e55611e5a56,Wild Tiger Pizza ,http://www.wildtigerpizza.com/Salads.html,1620 4th Ave,,Seattle,WA,98101,(206) 682-5747 ,,,
1fec5589be8924d19864f1aec635418ff78bbdf6,Post Alley Pizza,,1123 Post Ave,,Seattle,WA,98101,(206) 382-8475,,,
380412af939974a0ebd2f5e8ddefe5f5b8e0dec4,Mario's Pizza,,823 3rd Avenue,,Seattle,WA,98104,(206) 587-2400 ,,,
caa601fb64e0a14726d296a858a41ad6bdb92f8b,Bruno's Mexican-Italian Restaurant & Pizzeria,http://www.brunosdining.com/,1417 3rd Ave,,Seattle,WA,98101,(206) 622-3180,,,
ecbafc5a81760c914a1c36067e58d14e7f74b0aa,Sbarro,http://sbarro.com/ourFood/ourFood.php,400 Pine St,,Seattle,WA,98101,(206) 262-1258 ,,,
8a949ff396143d0a2da49b6d406dd85aca63a9e2,Primo,http://www.primoseattle.com/#!menu/cm65,1106 8th Ave,,Seattle,WA,98101,(206) 547-7466 ,,,
ca0096948971860f87ce4b30f431329f0478eb15,Café Bengodi,,700 1st Ave,,Seattle,WA,98104,(206) 381-0705,,,
5decbf32742c8f51ee50ece8c7b168a4d8861467,Il Fornaio,http://www.ilfornaio.com/?page=138&type=menus&restaurant_id=3916,600 Pine St,,Seattle,WA,98101,(206) 264-0994,,,
2e8abfde17a21a668a47dbd860c17a20cdad4883,Mae Phim Thai ,http://www.maephim.com/,94 Columbia St,,Seattle,WA,98104,(206) 624-2979,,,
707b039642e7fcf1517471c4f5d19a9b776a2ba8,Jasmine Thai Moraccan Cuisine Restaurant,,1530 Post Aly,,Seattle,WA,98101,(206) 382-9899,,,
83f4c3f6bd51a8014641374084d799a68f67f7ad,Thai Ginger,http://www.thaiginger.com/,600 Pine St,,Seattle,WA,98101,(206) 749-9100,,,
2e8abfde17a21a668a47dbd860c17a20cdad4883,Mae Phim Thai ,http://www.maephim.com/,94 Columbia Street,,Seattle,WA,98101,(206) 623-7453 ,,,
8b289868bce8aeb717cd8c174f2473ee73ccdc17,Ferry Noodle House,,93 Marion St,,Seattle,WA,98104,(206) 262-9965,,,
6b4e1b87331c3b1f8bc2cb637c574fa646ad6a60,Thai 2 Go,,823 3rd Ave,,Seattle,WA,98104,,,,
b030bf121606509b90abfee14b36444f3a9c0738,Wild Ginger,http://www.wildginger.net/our-food/Menus.aspx,1401 3rd Ave,,Seattle,WA,98101,(206) 623-4450 ,,,
83b1cb98dbd2362f5e114498031e3f329eb37533,Harbor Café,http://www.chefrut.com/Cafe_Page.html,1411 4th Ave,,Seattle,WA,98101,(206) 340-9908,,,
39bfe24d52a97f2177fd4c746c24364f59fb26c5,Citrus Thai Cuisine,http://www.citrusthai.com/menu.pdf,"917 Howell St
",,Seattle,WA,98101,(206) 402-4799,,,
30c02d05beefb9d07ad473e08f376232b50b5498,Spice Orient ,,1402 2nd Ave,,Seattle,WA,98101,(206) 748-9934 ,,,
1f2fc8ef17d78a38af1b352582f389269695f927,Taj Palace,http://www.tajpalaceofindia.com/tajpalace/dinner.asp,2331 140th Ave NE,,Bellevue,WA,98005,4256434200,,,
0f6925b6bdfac461919582591d1eaf8057d6af07,Szechuan Chef Chinese Restaurant,http://szechuanchefbellevue.com/menu.php,15015 Main St,,Bellevue,WA,98007,4257469008,,,
36a375068b532f7c7fc06dc0807d66458453d13d,Mayuri Indian Cuisine,http://www.mayuriseattle.com/menu.html,15400 NE 20th St,,Bellevue,WA,98007,4256414442,47.628443,-122.134127,
8f323a612958adba67dc16841dfcb3e5cbd327df,Ooba Tooba Mex Grill,http://www.oobatooba.com/menu.html,555 108th Ave NE,,Bellevue,WA,98004,4256464500,47.615418,-122.196576,
d0c9e69924851f9540ce3240b1281f7470df7b6d,Facing East,no online menu,1075 Bellevue Way NE,,Bellevue,WA,98004,4256882986,47.619854,-122.202707,
daecffc843b4c1da48a6d5a4410bf160aa9ca652,Moghul Palace Indian Cuisine,http://www.moghulpalace.net/Entrees.aspx,677 120th Ave NE,,Bellevue,WA,98005,4254511909,47.616228,-122.180892,multiple menus
740bf1013ba6e5de39b246741cc9e0b3c274918a,Best Wok,http://bestwokchineserestaurant.com/id1.html,19 148th Ave NE,,Bellevue,WA,98007,4257477031,47.610233,-122.143412,
d52c9b8fba3ded883a56fc5f2e37040fd57843c8,Chantanee Thai Restaurant & Bar,http://www.chantanee.com/resources/QuickLunch.pdf,601 108th Ave NE,,Bellevue,WA,98004,4254553226,47.61584,-122.196576,
f64eb51faf6c35e90f2ffea4ef162b44a1f4a189,Tokyo Japanese Restaurant,http://www.tokyojr.com/tokyojr/htms/to_go_menu.pdf,3500 Factoria Blvd SE,,Bellevue,WA,98006,4256415691,47.579336,-122.167816,
cb197648f33bc343ad6f0ae551850eb370c87e86,Taqueria Guadalajara,no online menu,2421 148th Ave NE,,Bellevue,WA,98007,,47.632093,-122.143689,Food Truck
286c9ed9b24d37afbc65aa0bc05539089d23b367,Square Lotus,http://www.squarelotus.com/Regular.aspx,3540 Factoria Blvd SE,,Bellevue,WA,98006,4256790680,47.579307,-122.16739,
cf0c36334ba9bc7a4125b35e5cd20fc67f408868,Taqueria El Rinconsito,http://www.elrinconsito.com/menus/chicken-and-meats,2255 140th Ave NE,,Bellevue,WA,98005,4256412524,47.630545,-122.154204,
c243a35189b7bfa4fa4a0c1afd7ca070b2e98480,Tangerine Thai Cuisine,http://www.tangerinethaicuisine.com/lunch_menu,333 108th Ave NE,,Bellevue,WA,98004,4256378822,47.613528,-122.19663,
ac643ecba61f94de9380194d0ac68ce859082cb6,India Gate Restaurant,http://indiagateofbellevue.com/Menu,3080 148th Ave SE,,Bellevue,WA,98007,4257471075,47.581545,-122.139515,
6a28a85680531f659b961720e738f60df45749ed,MOD Pizza,http://www.modpizza.com/,317 Bellevue Way NE,,Bellevue,WA,98004,4254550141,47.613316,-122.201793,flash menu
954bd58cb113cef38298505269d6f27903fb2d2b,Bamboo Garden,http://www.bamboogardendining.com/Pages/OurMenu.aspx,202 106th Pl NE,,Bellevue,WA,98004,4256887991,47.61214,-122.197814,
b8891418e90f1449a1f66d9e11a3e50c5e4e0d6b,Spice Route Indian Cuisine,http://www.spiceroutecuisine.com/pages/menu,2241 148th Ave NE,,Bellevue,WA,98007,4256434144,47.630571,-122.144902,
d4b329fe6f0b051799d569be4494592c58f5cc3a,Araya's Place,http://www.arayasplace.com/,31 Bellevue Way NE,,Bellevue,WA,98004,4254531366,47.610495,-122.201519,
2c1ba1db4de2a44e1bd5b509fc3033c3c7783631,Zen Yai Noodle House,no online menu,15400 NE 20th St,,Bellevue,WA,98007,4253781100,47.6286,-122.134057,
54406ad478ccb52162203ba97da0d902122a0c2e,Yeh Yeh's Vietnamese Sandwiches,http://www.yehyehs.com/index.php?page=menu,14339 NE 20th St,,Bellevue,WA,98007,4256445273,,,
b244b7b36fc32ea2c5987d0916f16869dcff499e,Garlic Crush,http://www.garliccrush.com/menu.htm,102 Bellevue Way NE,,Bellevue,WA,98004,4254552235,,,
2663c484d019cfad817a18bf242cd1236a076c93,Saigon City Restaurant,website down,15045 Bel Red Rd,,Bellevue,WA,98007,4254010823,47.627372,-122.138625,
bbe504cc6ba8f74c3596863ff7423f11466fec71,I Love Sushi,http://lakebellevue.ilovesushi.com/menu/lunch.pdf,11818 NE 8th St,,Bellevue,WA,98005,4255455706,,,
165c0e095c2d118a61f2bd04dff38325132387c5,Kiku Sushi,http://www.kikusushi.com/menu.html,13112 NE 20th St,,Bellevue,WA,98005,4255569600,,,
7b26ba6cb4314a6d2969af1580b5a060077cfeac,Sushiya,http://www.sushiyabellevue.com/menu.htm,300 110th Ave NE,,Bellevue,WA,98004,4254671453,,,
2d0ac4e7bb6d4380483b578b8f933be7c8cbdf47,Chipotle,http://www.chipotle.com/en-US/menu/menu.aspx,10503 NE 4th St,,Bellevue,WA,98004,4254670660,,,
338eee1e104408a18c28e3ccecdd8db52a44ff11,Jimmy John's,http://www.jimmyjohns.com/menu/menu.aspx,141 106th Ave NE,,Bellevue,WA,98004,4256469500,,,
329e5556fd901d25783c74f42ffea032d9fadc6a,Potbelly Sandwich Shop,http://www.potbelly.com/Food/OurMenu.aspx?subPage=Sandwiches,10608 NE 4th St,,Bellevue,WA,98004,4252140099,,,
8577d4aafd4b8e096bfb8859e67518a6d97dbb90,Nibbana Thai Cookery,http://www.nibbanarestaurant.com/,527 108th Ave NE,,Bellevue,WA,98004,4256379499,,,shitty website
289565d8b832eaea99474062e6d789a9d9862569,Specialty's Café & Bakery,http://www.specialtys.com/2012/Menu.aspx,500 108th Ave NE,,Bellevue,WA,98004,4254624326,,,
167e322b28f572809cd8c40e64f8050d665eaf66,Sushi Me,http://www.sushimebellevue.com/menu/appetizers/,1299 156th Ave NE,,Bellevue,WA,98007,4256449800,,,
f227a34ee653b4b465bb8987fdc203c4249dfd45,El Comal,http://elcomalbellevue.com/menu.html,15920 NE 8th St,,Bellevue,WA,98008,4256431500,,,
9ef845018cd11416e9e9a10943b3874e6326ca6f,Gilbert's Main Street Bagel Deli,no website,10024 Main St,,Bellevue,WA,98004,4254555650,,,
8e12413b0f383e911498ea2acd1f8615c30637ad,Café Cesura,http://cafecesura.com/menu/,1015 108th Ave NE,,Bellevue,WA,98004,4256332362,,,
5625afff02cce6dd47522fec336be627e3245f2f,3 Pigs Barbecue,http://www.3pigsbarbq.com/sitebuildercontent/sitebuilderfiles/3pigsmenu.pdf,1044 116th Ave NE,,Bellevue,WA,98004,4254530888,,,
9b06f5c9c6d7f38c54560798bd3e0fdefb2d1945,Sacks Gourmet Sandwiches,no website,3640 Factoria Blvd SE,,Bellevue,WA,98006,4256430292,,,
d7fd0d90d42d9183bd6a0342b78ba3892db77134,Pho Cyclo Café,http://www.phocyclocafe.com/menu.htm,500 108th Ave NE,,Bellevue,WA,98004,4254535852,,,
a204ce27867bc43f689e2f73d6fcb7d83791a47c,Wonton City,no website,503 156th Ave SE,,Bellevue,WA,98007,4257471885,,,
a6131cefa5a109093e21f5ea5be1372b4909524b,Shanghai Cafe,no website,12708 SE 38th St,,Bellevue,WA,98006,4256031689,,,
dd8cba8f13b06f952b1e055f20caa34cd07f0230,Din Tai Fung,no online menu,700 Bellevue Way NE,,Bellevue,WA,98004,4256981095,,,
c7295b04e5a8b9582cca6893d9638f331848e921,Spiced,no website,1299 156th Ave NE,,Bellevue,WA,98007,4256448888,,,
6ebae27773e71ae2c8edc8b7d2700348848ec28e,Teriyaki & More,no website,3080 148th Ave SE,,Bellevue,WA,98007,4256432040,,,
fe47d646deb4a58348e5269f4d3a3ed589175e3b,Tuscan Stone Wood Fired Pizza,http://www.tuscanstonepizza.com/,15 Bellevue Way SE,,Bellevue,WA,98004,4254409189,,,food truck
45e6b7d9e65981be7bdd3cc34dce4d3b880d1a7e,Caspian,http://www.caspianbellevue.com/menu.htm,1806 136th Pl NE,,Bellevue,WA,98005,4257479500,,,
27c0ea36671b43d879109970d42d1b1721311f44,Broiler Bay,http://broilerbay.com/1815.html,10636 Main St,,Bellevue,WA,98004,4256463474,,,
9364389e7dfdc0e92311865f08498a3884bd7b9e,Blue Olive Mediterranean Café,no website,11028 NE 8th St,,Bellevue,WA,98004,4254550126,,,
1969336dfd23e1822f6dbcdf0af23687fda6a1ed,Thai VP,http://www.thaivpcuisine.com/index.php/menu,15920 NE 8th St,,Bellevue,WA,98008,4255027115,,,
41a9737b8f082eae06fc5e526a1f993d292896da,Cafe Ori,http://cafeoribellevue.com/,14339 NE 20th St,,Bellevue,WA,98007,4257478822,,,
0cc72e18ba2c44e9a740b8ffa862448750c9bfc9,Sushi Maru,http://www.sushimarubellevue.com/menu_gallery/menu.html,205 105th Ave NE,,Bellevue,WA,98004,4254530100,,,
549ca50828b97f9025d6ca545c43752e2d470b8b,The French Bakery,http://www.thefrenchbakery.com/bellevue02.html,909 112th Ave NE,,Bellevue,WA,98004,4255909640,,,
510be353710d4680b1bce296026d1f5dcc6b542a,The Pumphouse Bar & Grill,http://www.pumphousebellevue.com/about_us.html,11802 NE 8th St,,Bellevue,WA,98005,4254554110,,,
90faf4cb7ba98e96d5c717793e250fc32bb8c8d5,Noble Court Seafood Restaurant,http://www.thenoblecourt.com/,1644 140th Ave NE,,Bellevue,WA,98005,4256416011,,,
d73d580182d3b49be682d2f3994bb014c74a5bac,Gyro Express,website down,545 108th Ave NE,,Bellevue,WA,98004,4254535999,,,
fa32542fc83996d2cc8635dfa81036e6385d1836,I Love Teriyaki,no website,2255 140th Ave NE,,Bellevue,WA,98005,4256492219,,,
d186f1ca8aec5061341c2e563a88a00a340adb0f,Thai Grill,http://thaigrillrestaurant.com/thaigrillrestaurant/index.php/menu,10666 NE 8th St,,Bellevue,WA,98004,4256371185,,,
75113138470c8fc281750fef2034be3c6abc894d,Top Gun Seafood Restaurant,http://www.topgunrestaurants.com/menus.shtml,12450 Se 38th St,,Bellevue,WA,98006,4256413386,,,
2caeca4b9534512630d982d314544682ced8b40e,Oma Bap,http://www.omabap.com/our-menu.html,120 Bellevue Way NE,,Bellevue,WA,98004,4254677000,,,
ce2bf2a186b30d8ff12f4124d075cbe2b4f93367,I Love Pho,http://ilovepho.com/home/our-menu,3900 Factoria Blvd SE,,Bellevue,WA,98006,4254016400,,,
337f25755acd46772c73f3c0898e418fe6d18e5e,Marinepolis Sushi Land,http://www.sushilandusa.com/,138 107th Ave NE,,Bellevue,WA,98004,4254552793,,,flash menu
f6cd6e493f614b41033a10d7ab6bc0f3e9b626bd,Chipotle,http://www.chipotle.com/en-US/menu/menu.aspx,1328 156th Ave NE,,Bellevue,WA,98008,4252140011,,,
d6dc3b33aa8153a490315efb3caaf058dc38f838,Pogacha Restaurant,http://www.pogacha.com/Bellevue/menu.aspx,119 106th Ave NE,,Bellevue,WA,98004,4254555670,,,
2ced920fe1ec0783bb7683fdfddc182012777e9b,Tokyo Stop Teriyaki,no website,1504 145th Pl SE,,Bellevue,WA,98007,4256533577,,,
, Pasta & Co,http://www.pastaco.com/food/food_current.shtml,10218 NE 8th St,,Bellevue,WA,98004,4254538760,,,
bd63fb1f6e246517807fc1abe9628bd60ca14ba0, Pagliacci Pizza,http://www.pagliacci.com/menu/index.html,563 Bellevue Square,,Bellevue,WA,98004,4254531717,,,
6aaa464c5f6e63fe3b36dccfa2b6d84119cdd7fc,Toy's Cafe,no website,129 106th Ave NE,,Bellevue,WA,98004,4254548815,,,
faed24f01eb1d70595a131d33e439b5c93a6c0ce,Little Taipei,http://www.yelp.com/biz_photos/little-taipei-bellevue?select=6Wa89I-7DAMXZLQYrvEhZA#6Wa89I-7DAMXZLQYrvEhZA,2245 140th Ave NE,,Bellevue,WA,98005,4257464764,,,
,Los Chilangos,oschilangos.com/specialties.html#menu,1829 130th Ave NE,,Bellevue,WA,98005,4252330972,,,Food Truck
5d95b85f15d81356b55480a4149934f7c033b645,Burgermaster,http://www.burgermaster.biz/bellevue,10606 NE Northup Way,,Bellevue,WA,98004,4258279566,,,
82a8e1acd252e4e45360e4f3d1bd8c31140034d2,Ivar's Seafood Bar,http://www.ivars.com/index.php?page=menus,1505 156th Ave NE,,Bellevue,WA,98007,4257476433,,,
7491e7d8533a6aeb4f94b10fa704e8fb94d5f67a,Rice 'n Spice Thai Cuisine,http://www.ricenspicethai.com/menu.html,1101 106th Ave NE,,Bellevue,WA,98004,4256359474,,,
f3e1e4961d7733f5a43849786b77da504167bbc8,Greenwood Mandarin Restaurant,no website,3303 156th Ave SE,,Bellevue,WA,98007,4257479888,,,
,King & I Thai Cuisine,http://www.king-and-i.us/menu.html,10509 Main St,,Bellevue,WA,98004,4254629337,,,
c66f8286e9062c53751f7d87c4438a6cf80fe434,Panera Bread,http://www.panerabread.com/menu/cafe/?ref=/menu/index.php,1100 Bellevue Way NE,,Bellevue,WA,98004,4254532600,,,
c4e65121b22456d95682d273af18376a6684e3bf,Thai Kitchen Restaurant,http://www.thethaikitchen.com/flash3.html,14115 NE 20th St,,Bellevue,WA,98007,4256419166,,,Flash menu
0d44f22b02639ba0b54b431a8f1bb6d0d609ef04,Wild Ginger,http://www.wildginger.net/Private-Events-And-Catering/Menus.aspx,11020 NE 6th St,,Bellevue,WA,98004,4254958889,,,
cc0c33520fafd2852c9e567efbd8ef0c85a4c6a2,Paldo Korean Restaurant,no website,549 156th Ave SE,,Bellevue,WA,98007,4256143888,,,
aac1a628e752e71eae3a90a69e9186535337d8ff,Briatore Pizza,http://www.briatorepizza.com/,13433 NE 20th St,,Bellevue,WA,98005,4257469100,,,flash menu
6b0eee41c6c2598da523d45c84c3409c774c3685,What the Pho!,http://www.whatthepho.net/menu.html,10680 NE 8th St,,Bellevue,WA,98004,4254625600,,,
0ce75019d949d087b78fa4355ca52e40bb537431,Blazing Bagels,http://www.blazingbagels.com/menu.htm,555 108th Ave NE,,Bellevue,WA,98004,4254548709,,,
5fbdaad77fbf71b03c01a3259e84066a27142d80,California Pizza Kitchen,http://www.cpk.com/menu/,595 106th Ave NE,,Bellevue,WA,98004,4254542545,,,
,Yang's Dumpling House,no website,509 156th Ave SE,,Bellevue,WA,98007,6264009256,,,
e650e7b9879b6e59fe00220fbfc1955b5849db2b,Tapatio,http://www.tapatiofactoria.com/tapatiomenu.pdf,3720 Factoria Blvd SE,,Bellevue,WA,98006,4253730855,,,
daa714ab9827b0a98c48ba8765cacdde0a9cd9ab,Teriyaki Express,no website,1425 130th Ave NE,,Bellevue,WA,98005,4254521300,,,
7987d1b3fb0c68deea51b0f73d98866c1efa7cf3,Goldbergs' Famous Delicatessen,http://www.goldbergsdeli.com/menu.html,3924 Factoria Blvd SE,,Bellevue,WA,98006,4256416622,,,
5efebc3d6df7fecc9e986bcbe3d1c5e15b8eed9e,The Cheesecake Factory,http://www.thecheesecakefactory.com/menu/welcome/Welcome,401 Bellevue Square,,Bellevue,WA,98004,4254506000,,,
56c5d81b10f3f4506ba8a1e93703283395254281,Joi's Chinese Seafood Restaurant,http://www.joisbellevue.com/en/menu,200 106th Ave NE,,Bellevue,WA,98004,4256371389,,,
,India King,http://indiaking.us/menu.php,1411 156th Ave NE,,Bellevue,WA,98007,4256532440,,,
7797d56f906d4323fb633b85c6357d18ac28f78a,Sushi Mojo,http://www.sushi-mojo.com/menu,1915 140th Ave NE,,Bellevue,WA,98005,4257466656,,,
1cfca7f82e7246e0c763cdb27557c2d3f71c6086,Chutneys Indian Restaurant,http://www.chutneys.com/menu/,938 110th Ave NE St,,Bellevue,WA,98004,4254670867,,,
9e6e73fa6f782541be361d55723a64b5f785308b,Topolino's Pizza,http://www.topolinopizza.com/pizza_menu.pdf,10621 NE 8th St,,Bellevue,WA,98004,4256377770,,,
20ab6c71f358b8c78dd65822bbe1f7a978bf2454,Rolls and Rolls Plus Sushi,http://rollsandrolls.blogspot.com/,11011 NE 12th St,,Bellevue,WA,98004,4254544313,,,
5d9646a8630f48cd4d8bd3d40d70c672778493de,101Yess,http://www.101yess.com/index.php?c=menu,12121 Northup Way,,Bellevue,WA,98005,4258958899,,,
698eaa16d78820e2bfb6f7622bfa64e23eed4624,Lunchbox Laboratory,http://lunchboxlaboratory.com/menu/,989 112th Ave NE,,Bellevue,WA,98004,4255052676,,,
c9df005cc1552c7d9509359402178d1b617cf3a6,Byblos Deli,http://byblosdeli.com/?page_id=69,14220 NE 20th St,,Bellevue,WA,98007,4254554355,,,
d362246ec7f7973128237b05eadce2186079ef62,Liebchen Delicatessen,no online menu,523 156th Ave SE,,Bellevue,WA,98007,4257467819,,,
3142a6155aaaf5dcad978bb66a02b19678e1a283, Thai Chef,no website,1645 140th Ave NE,,Bellevue,WA,98005,4255627955,,,
315005e19dd6f2715e9c84aae610daec0b22527b,Kobe Wellbeing Tonkatsu,http://www.koberestaurantwa.com/,850 110th Ave NE,,Bellevue,WA,98004,4254513888,,,
8b8110e430daa0a221162426e7f2bf6ce0b510f0,Pho All Day,no website,150 105th Ave NE,,Bellevue,WA,98004,4254678408,,,
9b758e3be739d23c1f86155461b5ad3dec3057a5,Blue Ginger Korean Grill & Sushi,no website,14045 NE 20th St,,Bellevue,WA,98007,4257461222,,,
7593e0d24eca406d3ccd1dbc3899e88f656c0c76,Piroshky Piroshky,no website,15600 NE 8th St,,Bellevue,WA,98008,4254019870,,,
e7bdc0e29997021f01a48820824974c5032b7e16,Wibbley's Gourmet Hamburgers,http://www.wibbleys.com/,2255 140th Ave NE,,Bellevue,WA,98005,4257477818,,,
8aaf159d266cf49618da6f4a2e51717475b9dc0f,Tasty Thai,no website,3700 128th Ave SE,,Bellevue,WA,98006,4256411900,,,
f55ad751938dd8f285b75b66aa83c493deae42af,Udupi Cafe and Chaat Corner,https://www.yubit.com/premium/udupicafe,14625 NE 24th St,,Bellevue,WA,98007,4254012009,,,
a5241e83e34f3e55c1cb95732d68d5ed43a7b160,South China Perry Ko's Restaurant,no website,5606 119th Ave SE,,Bellevue,WA,98006,4256435085,,,
3d435583cf9219ebce2fd447c42f0738adbe5919,Peking Wok,http://pekingwokbellevue.com/,12816 SE 38th St,,,,98006,4256431663,,,
4de38155ea1692a8f66b0d6f28ce066154a5a072,Café Pogacha,http://www.pogacha.com/issaquah/brunch-menu.aspx,10885 NE 4th St,,,,98004,4254500333,,,
e35463b2206529d091d9af4dcd494c1aa8ad547a, Boom Noodle,http://www.boomnoodle.com/v2/food.html,504 Bellevue Sq,,,,98004,4254536094,,,
76c55378f637a8dcaa641a657728b1dff099bd75,Little Garden,http://littlegardenchinese.com/our_menu,14725 NE 20th St,,,,98007,4256449038,,,